playerName,round,position,action,potSize,winProb,aggression
Jime1,Turn,0,br,22,0.8137,0.5217
sagerbot,Turn,1,ck,24,0.6484,0.35
Jime1,River,0,ck,24,0.7636,0.5217
sagerbot,River,1,ck,24,0.6303,0.35
sagerbot,Preflop,0,br,6,0.6572,0.48
Jime1,Preflop,1,ck,8,0.5944,0.4815
sagerbot,Flop,0,br,10,0.7119,0.48
Jime1,Flop,1,br,14,0.567,0.4815
sagerbot,Flop,0,br,18,0.7118,0.48
Jime1,Flop,1,ck,20,0.5671,0.4815
sagerbot,Turn,0,br,22,0.9949,0.48
Jime1,Turn,1,ck,24,0.4771,0.4815
sagerbot,River,0,br,26,0.999,0.48
Jime1,River,1,ck,28,0.2434,0.4815
Jime1,Preflop,0,ck,4,0.6043,0.5161
sagerbot,Preflop,1,ck,4,0.605,0.4286
Jime1,Flop,0,br,6,0.512,0.5161
sagerbot,Flop,1,ck,8,0.509,0.4286
Jime1,Turn,0,br,10,0.9659,0.5161
sagerbot,Turn,1,ck,12,0.4525,0.4286
Jime1,River,0,br,14,0.9879,0.5161
sagerbot,River,1,ck,16,0.8283,0.4286
Jime1,Preflop,0,ck,4,0.7166,0.5278
sagerbot,Preflop,1,ck,4,0.4865,0.4062
Jime1,Flop,0,ck,4,0.6378,0.5278
sagerbot,Flop,1,br,6,0.6842,0.4062
Jime1,Flop,0,br,10,0.6379,0.5278
sagerbot,Flop,1,ck,12,0.6843,0.4062
Jime1,Turn,0,br,14,0.6152,0.5278
sagerbot,Turn,1,ck,16,0.6095,0.4062
Jime1,River,0,br,18,0.6384,0.5278
sagerbot,River,1,ck,20,0.7919,0.4062
Jime1,Preflop,0,ck,4,0.4893,0.475
sagerbot,Preflop,1,ck,4,0.4331,0.3714
Jime1,Flop,0,ck,4,0.3165,0.475
sagerbot,Flop,1,ck,4,0.2547,0.3714
Jime1,Turn,0,ck,4,0.3198,0.475
sagerbot,Turn,1,ck,4,0.1903,0.3714
Jime1,River,0,ck,4,0.2444,0.475
sagerbot,River,1,ck,4,0.1768,0.3714
sagerbot,Preflop,0,ck,4,0.4781,0.3415
sagerbot,Flop,0,br,6,0.694,0.3415
sagerbot,Flop,0,ck,12,0.694,0.3415
sagerbot,Turn,0,ck,12,0.6111,0.3415
sagerbot,Turn,0,ck,16,0.6111,0.3415
sagerbot,River,0,ck,16,0.6192,0.3415
sagerbot,River,0,ck,20,0.6192,0.3415
Jime1,Preflop,0,ck,4,0.4282,0.449
sagerbot,Preflop,1,ck,4,0.4337,0.3409
Jime1,Flop,0,ck,4,0.3821,0.449
sagerbot,Flop,1,br,6,0.5613,0.3409
Jime1,Flop,0,ck,8,0.3821,0.449
Jime1,Turn,0,ck,8,0.6945,0.449
sagerbot,Turn,1,ck,8,0.5035,0.3409
Jime1,River,0,ck,8,0.6212,0.449
sagerbot,River,1,ck,8,0.4444,0.3409
Jime1,Preflop,0,ck,4,0.5849,0.4074
sagerbot,Preflop,1,ck,4,0.3171,0.3404
Jime1,Flop,0,ck,4,0.5763,0.4074
sagerbot,Flop,1,ck,4,0.2427,0.3404
Jime1,Turn,0,ck,4,0.529,0.4074
sagerbot,Turn,1,br,6,0.5342,0.3404
Jime1,Turn,0,ck,8,0.529,0.4074
Jime1,River,0,ck,8,0.4899,0.4074
sagerbot,River,1,ck,8,0.5879,0.3404
Jime1,Preflop,0,ck,4,0.3853,0.3833
sagerbot,Preflop,1,br,6,0.635,0.36
Jime1,Preflop,0,ck,8,0.3853,0.3833
Jime1,Flop,0,ck,8,0.6012,0.3833
sagerbot,Flop,1,br,10,0.515,0.36
Jime1,Flop,0,ck,12,0.6011,0.3833
Jime1,Turn,0,ck,12,0.9476,0.3833
sagerbot,Turn,1,ck,12,0.547,0.36
Jime1,River,0,br,14,0.9414,0.3833
sagerbot,River,1,ck,16,0.502,0.36
Jime1,Preflop,1,ck,4,0.4097,0.3594
sagerbot,Preflop,0,br,6,0.555,0.3889
Jime1,Preflop,1,ck,8,0.4097,0.3594
sagerbot,Flop,0,br,10,0.7019,0.3889
Jime1,Flop,1,ck,12,0.6375,0.3594
sagerbot,Turn,0,br,14,0.5586,0.3889
Jime1,Turn,1,ck,16,0.6779,0.3594
sagerbot,River,0,ck,16,0.4586,0.3889
Jime1,River,1,ck,16,0.6081,0.3594
Winner777,Preflop,1,ck,4,0.5587,0.1053
Winner777,Flop,1,ck,4,0.5507,0.1053
Winner777,Turn,1,ck,8,0.4504,0.1053
Winner777,River,1,ck,12,0.7525,0.1053
[],Preflop,1,ck,8,0.5294,0.3
[],Flop,1,ck,12,0.5417,0.3
[],Turn,1,ck,16,0.4594,0.3
